title,neighborhood,time_duration,bedrooms,bathrooms,size,price
فيلا للبيع في شارع نجم الدين الايوبي ، الرياض,طويق,60 days 20:00:00,5.0,5.0,300.0,920000.0
فيلا للبيع في الرياض,طويق,0 days 12:00:00,5.0,5.0,312.0,950000.0
فيلا للبيع في الرياض,المهدية,0 days 07:00:00,4.70312813314618,5.0,200.0,830000.0
فيلا للبيع في شارع الحيال ، حي النهضة ، الرياض,النهضة,2 days 00:00:00,4.70312813314618,4.0,360.0,1350000.0
فيلا للبيع في حي الشرق ، الرياض,الشرق,60 days 20:00:00,5.0,4.449167836374574,420.0,1300000.0
فيلا للبيع في الرياض,الملقا,0 days 12:00:00,5.0,5.0,502.0,1895102.561459796
فيلا للبيع في الرياض,الرمال,21 days 00:00:00,5.0,4.0,330.0,1250000.0
فيلا للبيع في شارع رقم 8 ، الرياض,الندى,14 days 00:00:00,5.0,5.0,440.0,1895102.561459796
فيلا للبيع في الرياض,النرجس,0 days 06:00:00,3.0,5.0,225.0,1200000.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,طويق,1 days 00:00:00,5.0,5.0,300.0,1200000.0
فيلا للبيع في شارع محمد بن ابي العباس ، حي المونسية ، الرياض,المونسية,2 days 00:00:00,5.0,5.0,286.0,1100000.0
فيلا للبيع في طريق السيل الكبير ، الرياض,المهدية,3 days 00:00:00,4.70312813314618,5.0,200.0,880000.0
فيلا للبيع في الرياض,الرمال,0 days 05:00:00,5.0,5.0,400.0,1300000.0
فيلا للبيع في طريق ابي بكر الصديق ، الرياض,النرجس,3 days 00:00:00,6.0,5.0,475.6799679165831,1895102.561459796
فيلا للبيع في شارع الحسن المروزي ، الرياض,النرجس,7 days 00:00:00,5.0,4.0,308.0,1650000.0
فيلا للبيع في الرياض,القيروان,0 days 04:00:00,4.0,4.0,300.0,1700000.0
فيلا للبيع في شارع الجوزي ، حي اليرموك ، الرياض,اليرموك,7 days 00:00:00,4.0,5.0,312.0,1400000.0
فيلا للبيع في الرياض,العارض,0 days 22:00:00,4.0,5.0,354.0,1940000.0
فيلا للبيع في حي الياسمين ، الرياض,الياسمين,0 days 06:00:00,5.0,4.0,276.0,1700000.0
فيلا للبيع في طريق السيل الكبير ، الرياض,المهدية,0 days 07:00:00,6.0,4.0,200.0,840000.0
فيلا للبيع في شارع الرقة ، حي العزيزية ، الرياض,العزيزية,14 days 00:00:00,5.0,4.0,325.0,1250000.0
فيلا للبيع في شارع الذهبي ، الرياض,طويق,0 days 07:00:00,5.0,5.0,420.0,1100000.0
فيلا للبيع في طريق الجنادرية ، حي الشرق ، الرياض,الشرق,2 days 00:00:00,5.0,5.0,450.0,1400000.0
